YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1950,-2.88,5.51,6.65,9.03,11.97,16.70,18.65,18.71,15.40,10.61,7.50,8.12,1.17,9.22,18.02,11.17,9.89
1951,3.76,5.81,5.11,10.77,13.35,17.19,19.00,17.48,16.05,11.47,8.00,3.46,5.90,9.74,17.89,11.84,11.34
1952,3.45,5.80,6.72,10.14,13.22,14.60,18.45,18.22,16.10,13.36,6.02,6.30,4.24,10.03,17.09,11.83,10.79
1953,7.79,5.49,7.03,9.17,12.39,13.99,17.54,18.03,16.31,12.71,9.10,6.63,6.53,9.53,16.52,12.71,11.32
1954,3.18,6.59,5.75,8.12,12.75,14.09,16.20,16.48,15.42,10.91,10.01,5.40,5.47,8.87,15.59,12.11,10.51
1955,4.52,4.00,4.51,7.53,10.92,14.97,16.14,16.63,14.44,10.76,4.37,4.06,4.64,7.65,15.91,9.86,9.52
1956,4.40,2.55,5.42,10.30,14.30,14.35,18.64,17.71,14.91,10.22,6.43,5.05,3.67,10.01,16.90,10.52,10.27
1957,0.81,4.65,7.37,10.55,14.89,16.23,17.04,16.94,17.54,10.87,6.86,6.92,3.50,10.94,16.74,11.76,10.73
1958,6.90,9.07,7.13,10.01,16.24,18.19,20.89,19.64,15.89,12.60,6.82,7.56,7.63,11.13,19.57,11.77,12.53
1959,5.29,5.40,7.17,10.18,12.33,15.72,19.33,17.24,14.54,11.52,7.03,4.97,6.08,9.89,17.43,11.03,11.11
1960,4.20,5.48,6.77,9.96,11.88,15.68,19.68,17.15,14.83,11.86,7.34,4.49,4.88,9.54,17.50,11.34,10.82
1961,6.80,7.24,7.69,8.70,12.45,17.81,19.81,20.54,15.19,10.82,5.83,4.39,6.18,9.61,19.39,10.61,11.45
1962,3.85,6.45,6.59,10.28,10.66,15.79,17.83,17.00,15.64,11.73,8.34,5.96,4.90,9.18,16.87,11.90,10.71
1963,1.34,9.26,6.81,9.32,14.55,15.74,17.14,18.36,17.79,12.75,7.18,5.11,5.52,10.23,17.08,12.57,11.35
1964,4.65,5.42,6.97,8.48,12.02,14.64,17.75,17.23,14.97,12.18,5.83,2.64,5.06,9.16,16.54,10.99,10.44
